video_frame,label,left,width,top,height
57992_000301_Sideline_1,V49,346,22,286,28
57992_000301_Sideline_1,H83,879,24,250,24
57992_000301_Sideline_1,H32,838,24,355,27
57992_000301_Sideline_1,H82,790,18,186,25
57992_000301_Sideline_1,V53,776,21,272,21
57992_000301_Sideline_1,H68,737,20,254,26
57992_000301_Sideline_1,V97,716,22,290,24
57992_000301_Sideline_1,H65,683,18,288,18
57992_000301_Sideline_1,V90,669,21,319,22
57992_000301_Sideline_1,H60,664,22,284,26
57992_000301_Sideline_1,H28,1001,24,345,24
57992_000301_Sideline_1,V99,589,19,340,21
57992_000301_Sideline_1,H72,562,24,330,27
57992_000301_Sideline_1,V91,544,22,356,24
57992_000301_Sideline_1,H87,538,21,205,24
57992_000301_Sideline_1,V92,498,22,350,28
57992_000301_Sideline_1,V32,499,21,386,22
57992_000301_Sideline_1,V59,493,23,230,27
57992_000301_Sideline_1,V55,406,23,371,27
57992_000301_Sideline_1,V54,348,22,383,24
57992_000301_Sideline_1,H66,616,16,320,20
57992_000301_Sideline_2,V54,346,22,286,28
57992_000301_Sideline_2,V49,348,21,384,24
57992_000301_Sideline_2,V55,406,23,371,27
57992_000301_Sideline_2,V92,494,21,230,26
57992_000301_Sideline_2,H87,496,22,351,27
57992_000301_Sideline_2,V59,498,22,386,22
57992_000301_Sideline_2,V32,540,21,204,24
57992_000301_Sideline_2,V91,544,22,356,24
57992_000301_Sideline_2,H72,562,23,330,27
57992_000301_Sideline_2,V99,588,20,340,21
57992_000301_Sideline_2,H66,615,17,320,21
57992_000301_Sideline_2,H60,664,20,285,25
57992_000301_Sideline_2,V90,668,22,319,23
57992_000301_Sideline_2,H5,680,20,294,20
57992_000301_Sideline_2,H68,716,20,290,24
57992_000301_Sideline_2,V53,776,20,272,22
57992_000301_Sideline_2,H82,788,20,186,26
57992_000301_Sideline_2,H32,840,22,355,25
57992_000301_Sideline_2,H28,1000,25,345,24
57992_000301_Sideline_3,V54,345,23,286,28
57992_000301_Sideline_3,V49,348,21,383,24
57992_000301_Sideline_3,V55,405,23,371,27
57992_000301_Sideline_3,V92,494,21,230,26
57992_000301_Sideline_3,V59,498,22,350,28
57992_000301_Sideline_3,V32,542,22,203,25
57992_000301_Sideline_3,V91,544,22,357,23
57992_000301_Sideline_3,H72,562,22,330,28
57992_000301_Sideline_3,V99,588,20,339,21
57992_000301_Sideline_3,H66,614,18,320,21
57992_000301_Sideline_3,H60,664,20,285,25
57992_000301_Sideline_3,V90,667,23,319,24
57992_000301_Sideline_3,H5,682,18,290,19
57992_000301_Sideline_3,H68,715,21,291,23
57992_000301_Sideline_3,V53,774,22,272,22
57992_000301_Sideline_3,H82,789,18,186,26
57992_000301_Sideline_3,H32,839,23,356,24
57992_000301_Sideline_3,H28,1000,24,346,23
57992_000301_Sideline_4,V49,345,23,286,28
57992_000301_Sideline_4,V55,404,24,371,27
57992_000301_Sideline_4,V92,494,20,230,26
57992_000301_Sideline_4,H87,495,24,351,26
57992_000301_Sideline_4,V59,498,21,386,22
57992_000301_Sideline_4,V91,543,22,357,23
57992_000301_Sideline_4,H72,561,22,330,27
57992_000301_Sideline_4,V99,588,20,340,20
57992_000301_Sideline_4,H66,614,18,320,20
57992_000301_Sideline_4,H60,662,20,285,25
57992_000301_Sideline_4,V90,667,23,319,24
57992_000301_Sideline_4,H5,678,22,291,25
57992_000301_Sideline_4,H68,716,20,291,23
57992_000301_Sideline_4,V53,774,22,271,22
57992_000301_Sideline_4,H82,788,18,186,26
57992_000301_Sideline_4,H32,838,24,356,24
57992_000301_Sideline_4,H28,998,24,346,24
57992_000301_Sideline_5,V49,345,22,286,28
57992_000301_Sideline_5,V55,404,24,371,27
